               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11919,            0.037914,            0.029143,           0.0045776,             0.47857,           0.0049796,            0.001231,             0.10556,            0.030939,            0.027936,              0.0901,              0.0011,              0.0011
                   1,            0.093446,            0.050501,            0.027952,            0.030221,             0.49286,            0.087429,            0.034563,            0.071452,            0.033386,            0.025842,            0.079277,           0.0022772,           0.0022772
                   2,            0.075286,             0.04749,            0.025278,             0.16971,             0.45714,             0.21134,            0.055348,            0.059512,            0.029209,            0.022241,            0.068431,           0.0034307,           0.0034307
                   3,             0.06911,            0.044423,            0.023533,            0.037028,             0.61786,            0.063855,            0.016866,            0.074789,            0.027269,            0.020914,             0.05756,           0.0045604,           0.0045604
                   4,            0.067933,            0.031711,            0.020759,             0.19483,             0.58214,             0.19477,            0.071546,            0.074629,             0.02076,            0.017963,            0.046666,           0.0056664,           0.0056664
                   5,            0.072623,            0.034974,            0.020274,             0.50349,             0.59754,             0.51225,             0.20972,            0.068025,            0.019867,            0.013277,            0.035749,           0.0067485,           0.0067485
                   6,            0.067394,            0.029154,            0.015858,             0.31636,                0.75,             0.54817,             0.21067,            0.062823,            0.017868,            0.010836,            0.024807,            0.007807,            0.007807
                   7,            0.067672,            0.032777,             0.01462,             0.36571,             0.46869,             0.36557,            0.069452,              0.0742,            0.015169,             0.01091,            0.013842,           0.0088416,           0.0088416
                   8,            0.069927,            0.027675,            0.015099,             0.36102,             0.78214,             0.37224,             0.14253,            0.067319,            0.014523,            0.009956,            0.009208,            0.009208,            0.009208
                   9,            0.064267,            0.029135,            0.012162,              0.4542,             0.51344,             0.57875,             0.25691,            0.056097,            0.015045,            0.010764,            0.009208,            0.009208,            0.009208
                  10,            0.055492,            0.022559,            0.011972,             0.50358,             0.50839,             0.56854,             0.24833,            0.057516,             0.01466,            0.011672,            0.009109,            0.009109,            0.009109
                  11,            0.059402,            0.027068,            0.012545,             0.47112,             0.78214,             0.68067,             0.26271,            0.055339,            0.014305,           0.0074181,             0.00901,             0.00901,             0.00901
