               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13036,              0.0372,            0.030679,           0.0021368,            0.071429,           0.0014401,           0.0006367,             0.12963,             0.02817,            0.030306,              0.0982,              0.0002,              0.0002
                   1,             0.12875,             0.04222,            0.030186,            0.003178,             0.10714,           0.0021452,          0.00085163,             0.12662,            0.030007,            0.029654,            0.095497,           0.0004967,           0.0004967
                   2,             0.12596,            0.044253,            0.030138,           0.0020877,            0.071429,           0.0039753,           0.0011447,             0.12136,            0.033539,            0.028831,            0.092789,          0.00078944,          0.00078944
                   3,             0.12019,            0.053647,            0.029205,           0.0015674,            0.035714,           0.0009427,           9.427e-05,             0.11424,            0.038677,             0.02818,            0.090078,           0.0010782,           0.0010782
                   4,             0.11337,            0.059788,            0.028876,            0.021486,              0.1131,            0.052372,            0.025309,             0.10516,            0.044984,            0.027726,            0.087363,            0.001363,            0.001363
                   5,             0.10577,            0.062855,            0.028127,             0.57618,            0.035714,            0.052629,            0.025836,            0.098477,            0.049249,            0.027629,            0.084644,           0.0016439,           0.0016439
                   6,              0.1035,            0.074685,            0.027906,             0.68783,            0.035714,             0.10373,            0.039055,            0.091208,            0.053198,             0.02732,            0.081921,           0.0019208,           0.0019208
                   7,              0.1056,            0.079514,            0.027342,            0.046898,             0.21429,             0.11032,            0.027398,            0.089233,            0.053358,            0.027261,            0.079194,           0.0021937,           0.0021937
                   8,             0.10128,            0.078955,            0.026797,              0.1743,             0.14286,              0.1143,            0.043511,            0.085994,            0.052481,            0.026901,            0.076463,           0.0024627,           0.0024627
                   9,            0.098823,             0.08597,            0.026809,             0.74256,             0.21429,             0.16966,            0.045041,            0.085503,            0.050285,            0.026637,            0.073728,           0.0027277,           0.0027277
                  10,            0.098257,            0.073665,            0.025486,             0.70578,             0.10714,              0.1214,            0.042186,            0.082303,            0.046976,            0.026435,            0.070989,           0.0029888,           0.0029888
                  11,            0.092646,            0.062875,            0.025861,             0.87739,             0.28571,             0.31824,             0.10267,            0.083753,            0.045573,            0.026811,            0.068246,           0.0032459,           0.0032459
                  12,            0.089689,            0.063486,            0.024858,             0.84588,             0.17857,             0.22713,            0.054379,            0.079423,             0.05634,            0.028027,            0.065499,            0.003499,            0.003499
                  13,            0.091146,            0.067556,            0.023963,             0.67539,             0.10714,             0.13855,            0.050729,            0.087252,            0.067996,            0.029544,            0.062748,           0.0037482,           0.0037482
                  14,            0.085599,            0.056975,            0.024849,             0.20464,             0.40476,             0.17505,            0.052418,            0.091763,            0.077391,            0.029527,            0.059993,           0.0039934,           0.0039934
                  15,            0.087392,            0.050968,            0.023974,             0.69866,             0.17857,             0.29559,            0.072614,            0.080336,            0.062964,             0.02811,            0.057235,           0.0042347,           0.0042347
